NOME_PLANILHA_CIVICO_MILITAR;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SG_UF;SCORE_SIMILARIDADE;STATUS_CRUZAMENTO
Colegio Estadual Cívico Militar Prefeito Carlos Massaretto;41025482;CARLOS MASSARETTO C E CM PREFEF M P;Apucarana;Estadual;PR;0.958;Cruzado com Sucesso
Alberto Santos Dumont, C E-Ef M Profis;41025318;ALBERTO SANTOS DUMONT C E CMEF M P;Apucarana;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Cívico Militar Heitor C. A. Furtado;41025652;HEITOR C A FURTADO C E CMEF M PROFIS;Apucarana;Estadual;PR;1.175;Cruzado com Sucesso
Jose Canale, C E Cívico-Militar Pe-Ef M e Profissional;41025717;JOSE CANALE C E CM PEEF M PROFIS;Apucarana;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cívico Militar Marquês de Caravelas;41046617;GENEROSO MARQUES C E CM DREF M;Cambará;Estadual;PR;0.762;Cruzado com Sucesso
Francisco F Bastos, C E-Ef M;41026632;FRANCISCO F BASTOS C E CMEF M PROFIS;Arapongas;Estadual;PR;1.175;Cruzado com Sucesso
Walfredo S Correa, C E-Ef M;41027086;WALFREDO S CORREA C E CMEF M PROFIS;Arapongas;Estadual;PR;1.175;Cruzado com Sucesso
Jose De Anchieta, C E Pe-Ef M Profis;41025806;JOSE DE ANCHIETA C E CM PEEF M PROFIS;Apucarana;Estadual;PR;1.175;Cruzado com Sucesso
OSMAR GUARACY FREIRE, C E-EF M P;41026055;OSMAR GUARACY FREIRE C E CMEF M P;Apucarana;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Polivalente Carlos Domingos Silva;41026152;POLIVALENTE C D SILVA C E CMEF M P;Apucarana;Estadual;PR;0.815;Cruzado com Sucesso
Colégio Estadual Irondi Mantovani Pugliesi;41164920;IRONDI MANTOVANI PUGLIESI C E CMEF M;Arapongas;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Rosa Delúcia Calsavara;41027370;ROSA D CALSAVARA C E CMEF M PROFIS;Cambira;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cívico Militar Olavo Bilac;41014375;OLAVO BILAC C E CMEF M;Ubiratã;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Jandaia do Sul;41027558;JANDAIA DO SUL C E CMEF M;Jandaia do Sul;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Tadashi Enomoto;41026284;TADASHI ENOMOTO C E CMEF M;Apucarana;Estadual;PR;1.233;Cruzado com Sucesso
C.E. Cívico-Militar Professora Jaci Real Prado de Oliveira;41122925;JACI REAL P OLIVEIRA C E CM PROFAEFMP;Almirante Tamandaré;Estadual;PR;1.048;Cruzado com Sucesso
Emilia Buzato, C E-Ef M;41122836;EMILIA BUZATO C E CM EF M PROFIS;Campo Magro;Estadual;PR;1.35;Cruzado com Sucesso
Escola Estadual Prof Rosa Frederica Johnson;41123212;ROSA F JOHNSON E E CM PROFA EF;Almirante Tamandaré;Estadual;PR;1.017;Cruzado com Sucesso
Colégio Estadual Professor Alberto Krause;41122801;ALBERTO KRAUSE C E CM PROFEF M P;Almirante Tamandaré;Estadual;PR;1.233;Cruzado com Sucesso
Ivan F Do Amaral Filho, C E-Ef M;41124669;IVAN F DO AMARAL FILHO C E CM EF M P;Campina Grande do Sul;Estadual;PR;1.35;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Oscar Joseph D'Plácido e Silva;41373456;OSCAR J D P E SILVA C E CM EF M;Pinhais;Estadual;PR;0.85;Cruzado com Sucesso
Planta Deodoro, E E-Ef;41150902;PLANTA DEODORO C E CM EF M;Piraquara;Estadual;PR;1.35;Cruzado com Sucesso
Maria Lopes De Paula, C E Profa-Ef M;41123360;MARIA L DE PAULA C E CM PROFAEF M P;Almirante Tamandaré;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Alfredo Chaves;41125673;ALFREDO CHAVES C E CMEF M;Colombo;Estadual;PR;1.233;Cruzado com Sucesso
Joao Bosco, C E D-Ef M;41126106;JOAO BOSCO C E CM DEF M;Colombo;Estadual;PR;1.233;Cruzado com Sucesso
Rui Barbosa, C E C-M - EFM;41093607;RUI BARBOSA C E CMEF M;Pato Branco;Estadual;PR;1.233;Cruzado com Sucesso
Vinicius De Moraes, C E-Ef M;41024869;VINICIUS DE MORAES C E CMEF M;Maringá;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Vereador Luiz Maltaca;41134931;LUIZ MALTACA C E CM VEREF M PROFIS;Itaperuçu;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Semiramis de Barros Braga;41135911;SEMIRAMIS DE B BRAGA C E CMEF M PROFI;Pinhais;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Elias Abrahao C E E Fund Medio;41352610;ELIAS ABRAHAO C E CMEF M PROFIS;Quatro Barras;Estadual;PR;0.792;Cruzado com Sucesso
Colégio Estadual Manoel Borges de Macedo;41136829;MANOEL BDE MACEDO C E CM PROFEF M P;Rio Branco do Sul;Estadual;PR;0.923;Cruzado com Sucesso
Dias Da Rocha do FATO;41123506;DIAS DA ROCHA C E CMEF M P;Araucária;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Cívico Militar Prof. Anderson Rangel E. F. M.;41148703;ANDERSON RANGEL C E CM PROFEF M;Fazenda Rio Grande;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar- Prof. João Hoinatz De Andrade;41601904;JOAO HOINATZ ANDRADE C E CM PROFEF M;Fazenda Rio Grande;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual General Carneiro;41121600;CARNEIRO C E CM GALEF M;Lapa;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico Militar Manoel Antônio Da Cunha;41121945;MANOEL A DA CUNHA C E CMEF M;Lapa;Estadual;PR;0.958;Cruzado com Sucesso
Mireille Maria F Z Machado, E E Prof-Ef;41152905;MIREILLE M F Z MACHADO E E CM PREF;Mandirituba;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Eleutério Fernandes de Andrade;41142063;ELEUTERIO F DE ANDRADE C E CMEF M P;Quitandinha;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Presidente Caetano Munhoz Rocha;41049578;CAETANO MUNHOZ DA ROCHA C E CEF M;Ibaiti;Estadual;PR;1.062;Cruzado com Sucesso
Ovande Do Amaral, C E Dr-Ef M;41142837;OVANDE DO AMARAL C E CM DREF M;Rio Negro;Estadual;PR;1.233;Cruzado com Sucesso
Chico Mendes, C E-Ef M;41137493;CHICO MENDES C E CMEF M;São José dos Pinhais;Estadual;PR;1.233;Cruzado com Sucesso
Antonio Vieira, C E Pe-Ef M;41146093;ANTONIO VIEIRA C E CM PEEF M;São José dos Pinhais;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Shirley Catarina Tamalu Machado;41389310;SHIRLEY C T MACHADO C E CMEF M PROF;São José dos Pinhais;Estadual;PR;0.727;Cruzado com Sucesso
Colégio Estadual Zilda Arns Neumann;41601890;ZILDA ARNS NEUMANN C E CM DRAEF M P;São José dos Pinhais;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Rocha Pombo;41158806;ROCHA POMBO C E CMEF M;Araucária;Estadual;PR;1.233;Cruzado com Sucesso
Juventude De Santo Antonio, C E-Ef M;41124014;JUVENTUDE DE SANTO ANTONIO C E CMEF M;Balsa Nova;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Djalma Marinho;41125053;DJALMA MARINHO C E CMEF M PROFIS;Campo Largo;Estadual;PR;1.175;Cruzado com Sucesso
Joao Xxiii, C E-E F M;41041712;JOAO XXIII C E CMEF M;São Jerônimo da Serra;Estadual;PR;1.233;Cruzado com Sucesso
Macedo Soares, C E-Ef M;41125304;MACEDO SOARES C E CMEF M PROFIS;Campo Largo;Estadual;PR;1.175;Cruzado com Sucesso
Miguel Franco Filho, C E-Ef M;41126670;MIGUEL FRANCO FILHO C E CMEF M PROFIS;Contenda;Estadual;PR;1.21;Cruzado com Sucesso
Colégio Estadual Padre Arnaldo Jansen;41137361;ARNALDO JANSEN C E CM PEEF M PROFIS;São José dos Pinhais;Estadual;PR;1.175;Cruzado com Sucesso
